ADC,Temp_datasheet_C,Temp_refit_cubic_C,Refit_minus_datasheet_C
0,798.4337735382289,119.42082936205016,-679.0129441761787
1,219.61258140680056,117.82665209981063,-101.78592930698993
2,190.41518964945175,116.25054254475312,-74.16464710469863
3,173.26658129238945,114.69237070232514,-58.57421059006431
4,161.05060429718358,113.15200657797413,-47.89859771920945
5,151.53713019874647,111.6293201771476,-39.90781002159886
6,143.7327973250664,110.12418150529302,-33.60861581977338
7,137.10771375792538,108.63646056785791,-28.471253190067472
8,131.34557900443383,107.16602737028968,-24.179551634144147
9,126.24237075701073,105.71275191803588,-20.529618838974855
10,121.65878219606606,104.27650421654394,-17.382277979522115
11,117.53340698521099,102.85715427126138,-14.676252713949609
12,113.77480212991,101.45457208763565,-12.320230042274346
13,110.3029548406915,100.06862767111424,-10.234327169577256
14,107.28642792895154,98.69919102714465,-8.58723690180689
15,104.48687980089903,97.34613216117434,-7.140747639724694
16,101.85713912036509,96.0093210786508,-5.847818041714291
17,99.37808174370981,94.6886277850215,-4.689453958688318
18,97.03533373065943,93.38392228573393,-3.6514114449255004
19,94.80991176587979,92.0950745862356,-2.714837179644192
20,92.68969851931732,90.82195469197393,-1.8677438273433893
21,90.66435053328466,89.56443260839643,-1.0999179248882314
22,88.82639150475968,88.32237834095062,-0.5040131638090628
23,87.1133062333546,87.09566189508394,-0.0176443382706708
24,85.4660547268154,85.88415327624385,0.41809854942844993
25,83.87920148199036,84.68772248987787,0.8085210078875065
26,82.34795007504829,83.50623954143349,1.1582894663851988
27,80.86804662206015,82.33957443635818,1.4715278142980281
28,79.46466733142005,81.18759718009936,1.722929848679314
29,78.14774514937662,80.05017777810461,1.9024326287279933
30,76.86983058720075,78.92718623582135,2.0573556486206
31,75.62831643376917,77.81849255869709,2.190176124927916
32,74.42084323952845,76.72396675217928,2.303123512650828
33,73.2452687989027,75.64347882171542,2.3982100228127194
34,72.0996421895243,74.576898772753,2.4772565832286944
35,70.98218157536361,73.52409661073949,2.5419150353758795
36,69.89564130780056,72.48494234112238,2.589301033321817
37,68.87274295676652,71.45930596934912,2.5865630125826016
38,67.87254737167409,70.44705750086723,2.5745101291931434
39,66.89383379097735,69.44806694112418,2.5542331501468283
40,65.93547363085129,68.46220429556745,2.5267306647161547
41,64.99642136861652,67.48933956964451,2.49291820102799
42,64.07570652465411,66.52934276880286,2.453636244148754
43,63.17242658766914,65.58208389848997,2.409657310820826
44,62.28574075313662,64.6474329641533,2.361692211016674
45,61.41486436524537,63.7252599712404,2.3103956059950264
46,60.559063969536695,62.81543492519865,2.256370955661957
47,59.73731200130344,61.91782783147563,2.1805158301721903
48,58.96727464882352,61.03230869551876,2.0650340466952386
49,58.2094632736374,60.15874752277554,1.9492842491381452
50,57.463349017720475,59.29701431869344,1.8336653009729673
51,56.728433943773744,58.446979088719985,1.7185451449462406
52,56.00424862356784,57.60851183830259,1.6042632147347504
